GCJ02long,GCJ02lat,type
116.1916829,40.04356051,3
116.4310082,39.97279558,4
116.4898224,39.88142613,2
116.1547051,39.75700674,1
116.1823542,40.08499622,4
116.3407885,40.03896253,2
116.4235588,39.90398394,2
116.6327622,40.30877747,4
116.4824959,39.98297325,4
116.9614401,40.29278916,0
116.0301507,39.7586827,3
116.4573838,39.88155272,0
116.4298437,39.86286986,2
116.4335293,39.96986981,0
116.8861538,40.39798567,3
116.2699038,40.09624164,0
116.3445038,39.7441942,1
116.282341,39.78595346,0
116.0383378,39.61894901,1
116.3312783,40.05229406,1
116.3144606,39.88631563,1
116.2956771,39.94034913,2
115.9963704,39.69925094,0
116.4265732,40.02438177,3
116.2736127,39.88781892,3
116.5387603,39.69373605,1
116.3204175,39.88895751,3
116.3604621,39.9523212,3
116.3568653,39.90074601,0
116.076445,39.71656693,1
116.8340251,40.38043353,1
116.1858587,39.69986472,4
116.5051012,39.86216477,4
116.1072623,39.95707592,2
116.5015399,39.99894147,4
116.4499427,39.922825,3
116.7432754,40.00303751,4
116.3599375,39.98710471,0
116.4486289,39.95514563,2
115.9369083,39.65525035,4
115.955225,39.59873848,3
116.0634718,39.72683838,1
116.1368273,39.7302758,4
116.3748501,40.01083989,1
116.2881746,39.92372295,2
116.178485,39.92590294,4
116.4301596,39.7949169,0
116.2785763,39.89705514,3
116.3801674,39.96823655,1
116.3832291,39.95136518,0
116.368108,39.86987154,3
115.9037269,39.57465266,0
116.4239504,39.8957693,0
116.0774369,39.9428518,4
116.3398865,40.00026302,4
116.0964817,39.93539167,0
116.956186,40.40154434,2
116.9605572,40.19174394,3
116.4927494,39.79237173,0
116.6895944,39.87313979,0
116.3498857,39.90322076,3
116.4306213,39.78944399,1
116.536044,39.7422206,4
116.1664543,39.68312436,2
116.354246,40.02114144,2
116.2907653,39.81347804,3
116.3747713,39.98201858,0
117.0082855,40.14270903,0
116.2952855,39.88425017,4
116.3556422,39.93621239,0
116.2123591,39.91021677,4
116.6793792,40.10476585,2
116.5067301,40.01483659,2
116.374225,39.99368635,2
116.2030152,40.09192888,0
116.2316249,39.93185618,1
115.9382514,39.65872977,2
116.5539472,39.94569367,1
116.2415061,39.8630051,1
116.3428017,40.02852982,4
116.0192616,40.00744844,3
116.0957175,39.95756725,2
116.3691653,39.96802033,3
116.2289558,40.0507298,3
116.3715975,39.96791277,2
116.5434952,40.02492977,1
115.9714231,39.59921099,4
116.046725,39.75570856,4
116.3043113,39.88992376,2
116.4522114,39.87628269,4
116.4059335,39.93065274,1
116.5049805,40.00477639,1
116.5283443,40.03482312,1
116.2086146,39.82116941,2
116.4442422,40.09447795,1
116.3576195,39.73944924,0
116.711846,40.1286681,1
116.4783549,39.9313995,4
116.637624,40.06098227,3
116.2189628,40.2251856,2
115.9757977,40.44591389,3
116.5682477,39.9209035,2
116.3152086,40.00195974,2
116.3207216,39.89267325,2
116.5092346,40.00738372,3
116.3946548,39.89585714,0
116.1293255,39.73967923,4
