,Unnamed: 0,Unnamed: 1,location,count,mean,lnglat,logcount,absmean
0,0,0,上海,1417,-0.2145377558221595,"121.47399982458053,31.230000555064283",58.05037791752545,0.46026448673208536
1,1,1,上海徐汇,6,-0.5,"121.43699960969862,31.188200067569813",14.33407575382444,2.5
2,2,2,上海长宁,6,0.3333333333333333,"121.42399969299603,31.220600450706375",14.33407575382444,1.1111111111111112
3,3,3,上海黄浦,8,0.0,"121.48499971567165,31.231501043998964",16.635532333438686,0.0
4,4,4,丹麦,1,0.0,"114.47027101106723,22.79332505665081",0.0,0.0
5,5,5,乌兹别克斯坦,3,1.0,"113.97313187348433,22.549366357183462",8.788898309344878,10.0
6,6,6,云南,45,-0.15555555555555556,"102.70999988792845,25.04530070941238",30.45329991816256,0.2419753086419753
7,7,7,云南临沧,4,0.5,"100.08899985437245,23.88419951624109",11.090354888959125,2.5
8,8,8,云南丽江,11,0.5454545454545454,"102.70999988792845,25.04530070941238",19.183162182386965,2.9752066115702474
9,9,9,云南保山,13,-0.15384615384615385,"99.17069960450237,25.133300505111098",20.519594859692294,0.23668639053254442
10,10,10,云南大理白族自治州,18,0.3333333333333333,"100.26799992986086,25.606399396634608",23.122974063169323,1.1111111111111112
11,11,11,云南德宏傣族景颇族自治州,13,0.7692307692307693,"98.58479983869555,24.432299765650775",20.519594859692294,5.9171597633136095
12,12,12,云南怒江傈僳族自治州,1,1.0,"98.85679985593697,25.817600168104008",0.0,10.0
13,13,13,云南文山壮族苗族自治州,18,-0.05555555555555555,"104.21600027825808,23.400300343722368",23.122974063169323,0.030864197530864196
14,14,14,云南昆明,154,-0.05194805194805195,"102.84600004616652,24.867699781642454",40.295620819309036,0.02698600101197504
15,15,15,云南昭通,23,0.5652173913043478,"103.71699996621919,27.338200193492458",25.0839537274332,3.194706994328922
16,16,16,云南普洱,4,0.25,"100.96599992303896,22.82520076398128",11.090354888959125,0.625
17,17,17,云南曲靖,49,0.32653061224489793,"103.79600022207906,25.490100274531393",31.13456238488501,1.0662224073302788
18,18,18,云南楚雄彝族自治州,9,-0.1111111111111111,"101.52800020517958,25.045499422657734",17.577796618689757,0.12345679012345678
19,19,19,云南玉溪,19,0.21052631578947367,"102.54700035561447,24.351999743848648",23.55551183333152,0.4432132963988919
20,20,20,云南红河哈尼族彝族自治州,36,-0.3055555555555556,"103.37499985408925,23.36430020357379",28.66815150764888,0.9336419753086421
21,21,21,云南西双版纳傣族自治州,29,0.1724137931034483,"100.79700019239336,22.007300140540256",26.938366639891797,0.29726516052318674
22,22,22,云南迪庆藏族自治州,2,1.0,"99.70309969241235,27.81900084879461",5.545177444479562,10.0
23,23,23,俄罗斯,2,-0.5,"121.84150480796627,39.0682190776944",5.545177444479562,2.5
24,24,24,保留地址,2,0.5,"0,0",5.545177444479562,2.5
25,25,25,内蒙古,61,-0.2459016393442623,"111.76599968275609,40.81740127987918",32.88699091338649,0.6046761623219564
26,26,26,内蒙古乌兰察布,15,0.5333333333333333,"111.76599968275609,40.81740127987918",21.664401608817677,2.8444444444444446
27,27,27,内蒙古乌海,5,-0.2,"111.76599968275609,40.81740127987918",12.875503299472802,0.4000000000000001
28,28,28,内蒙古兴安盟,10,0.2,"111.76599968275609,40.81740127987918",18.420680743952367,0.4000000000000001
29,29,29,内蒙古包头,29,0.0,"111.76599968275609,40.81740127987918",26.938366639891797,0.0
30,30,30,内蒙古呼伦贝尔,28,0.42857142857142855,"111.76599968275609,40.81740127987918",26.65763608140163,1.8367346938775508
31,31,31,内蒙古呼和浩特,171,-0.03508771929824561,"111.74899997056873,40.84240013809136",41.13330845202128,0.012311480455524777
32,32,32,内蒙古巴彦淖尔,43,0.5348837209302325,"111.76599968275609,40.81740127987918",30.089600925548503,2.8610059491617084
33,33,33,内蒙古赤峰,30,0.03333333333333333,"111.76599968275609,40.81740127987918",27.209579053297247,0.011111111111111112
34,34,34,内蒙古通辽,34,0.5294117647058824,"111.76599968275609,40.81740127987918",28.21088419692929,2.8027681660899657
35,35,35,内蒙古鄂尔多斯,17,-0.35294117647058826,"111.76599968275609,40.81740127987918",22.665706752449733,1.2456747404844293
36,36,36,内蒙古锡林郭勒盟,10,0.0,"109.80736086678118,40.673968054004284",18.420680743952367,0.0
37,37,37,加拿大,15,-0.2,"0,0",21.664401608817677,0.4000000000000001
38,38,38,加拿大不列颠哥伦比亚,32,-0.3125,"121.452238072593,31.22655520988607",27.72588722239781,0.9765625
39,39,39,加拿大安大略,39,-0.20512820512820512,"0,0",29.30849316903717,0.42077580539118997
40,40,40,加拿大新不倫瑞克,1,-1.0,"0,0",0.0,10.0
41,41,41,加拿大曼尼托巴,1,1.0,"0,0",0.0,10.0
42,42,42,加拿大艾伯塔,2,1.0,"0,0",5.545177444479562,10.0
43,43,43,匈牙利,1,0.0,"0,0",0.0,0.0
44,44,44,北京,3030,-0.1,"116.40700054364608,39.90459941931698",64.13054318802733,0.10000000000000002
45,45,45,北京朝阳,8,-0.625,"116.44299964206726,39.920600876341226",16.635532333438686,3.90625
46,46,46,北京海淀,272,-0.05514705882352941,"116.2990001967997,39.95929898253547",44.846416530367975,0.03041198096885813
47,47,47,卢旺达,1,-1.0,"0,0",0.0,10.0
48,48,48,印度,1,1.0,"0,0",0.0,10.0
49,49,49,印度尼西亚,2,1.0,"0,0",5.545177444479562,10.0
50,50,50,印度尼西亚东爪哇省,1,0.0,"0,0",0.0,0.0
51,51,51,台湾,12,1.0,"121.96733142506223,24.08124894474544",19.879253198304006,10.0
52,52,52,台湾台东,4,-1.0,"121.96733142506223,24.08124894474544",11.090354888959125,10.0
53,53,53,台湾台北,7,0.8571428571428571,"121.96733142506223,24.08124894474544",15.567281192442506,7.346938775510203
54,54,54,台湾台南,1,1.0,"121.96733142506223,24.08124894474544",0.0,10.0
55,55,55,台湾新北,70,0.6285714285714286,"121.96733142506223,24.08124894474544",33.987961936394875,3.9510204081632647
56,56,56,台湾桃园,1,0.0,"121.96733142506223,24.08124894474544",0.0,0.0
57,57,57,台湾花莲,1,1.0,"121.96733142506223,24.08124894474544",0.0,10.0
58,58,58,台湾高雄,3,1.0,"121.96733142506223,24.08124894474544",8.788898309344878,10.0
59,59,59,吉尔吉克斯坦,1,1.0,"121.09577097633152,31.32111295497322",0.0,10.0
60,60,60,吉林,119,-0.03361344537815126,"126.54900031532101,43.83789884126699",38.232987944892244,0.011298637101899583
61,61,61,吉林四平,19,0.3157894736842105,"124.35000016202919,43.16599962619162",23.55551183333152,0.9972299168975068
62,62,62,吉林延边朝鲜族自治州,22,-0.3181818181818182,"129.47099990767583,42.909401176932704",24.728339626866532,1.012396694214876
63,63,63,吉林松原,28,-0.2857142857142857,"126.54900031532101,43.83789884126699",26.65763608140163,0.8163265306122448
64,64,64,吉林白城,10,0.9,"126.54900031532101,43.83789884126699",18.420680743952367,8.100000000000001
65,65,65,吉林白山,4,0.25,"126.42299975635788,41.933999330034915",11.090354888959125,0.625
66,66,66,吉林辽源,13,-0.4615384615384616,"126.54900031532101,43.83789884126699",20.519594859692294,2.1301775147929005
67,67,67,吉林通化,22,0.3636363636363637,"126.54900031532101,43.83789884126699",24.728339626866532,1.3223140495867773
